"filename", "language", "Draw.io", "comment", "blank", "total"
"/mnt/d/proyects/angular/sistemaasWeimar/mendozarq/db/Diagrams.drawio", "Draw.io", 10, 0, 1, 11
"Total", "-", 10, 0, 1, 11
